protein_names,tract ID top left,tract ID bottom right,start_coord_top_left_tract,end_coord_top_left_tract,start_coord_bottom_right_tract,end_coord_bottom_right_tract,mean_intermolecular_PAE,std_dev_intermolecular_PAE,expected,x_name,y_name,predicted_maxima,predicted_maxima_no_scale
WP_149191159 and WP_149191160,3.0,0.0,897,962,992,1079,0.7202049218980253,0.0726620542542128,0,1,1,True,True
WP_185560005 and WP_185560006,2.0,0.0,362,418,448,577,0.8432889211886305,0.0701058217751492,0,1,1,True,True
WP_199404901 and WP_199404900,0.0,0.0,48,151,181,251,0.1376452612112806,0.1302894575681214,0,1,1,False,False
WP_199405059 and WP_199405058,0.0,0.0,0,0,0,0,0.0,0.0,0,1,1,False,False
WP_205420459 and WP_055004244,1.0,0.0,302,397,428,584,0.6934680724246514,0.2066490364404865,0,1,1,True,True
WP_226888708 and WP_226003473,0.0,0.0,282,357,387,430,0.8833790697674418,0.0387093548486061,0,1,1,True,True
WP_228302989 and WP_223575842,0.0,0.0,29,132,162,294,0.8810166960870844,0.0751901960505143,0,1,1,True,True
WP_228474820 and WP_185306028,2.0,0.0,379,441,471,569,0.5033361312266842,0.0969819864597534,0,1,1,False,False
WP_233679651 and WP_061090952,0.0,0.0,89,185,215,307,0.9034713919082126,0.0428639732011154,0,1,1,True,True
WP_235624429 and WP_012296277,2.0,0.0,1094,1172,1202,1296,0.8889446035642844,0.0460756528074421,0,1,1,True,True
WP_243820847 and WP_243820848,1.0,0.0,386,452,482,588,0.8402384934248142,0.1091658040957347,0,1,1,True,True
WP_275719485 and WP_275719486,1.0,0.0,717,724,805,887,0.8416077235772358,0.0990779124895587,0,1,1,True,True
